測站代碼,觀測時間,平均氣溫(℃),最高氣溫(℃),最低氣溫(℃)
C0D650,2021-08-01,28.3,30.9,26.7
C0D650,2021-08-02,26.8,28.7,25.2
C0D650,2021-08-03,27.8,31.3,26.0
C0D650,2021-08-04,27.8,33.2,25.0
C0D650,2021-08-05,26.9,29.4,25.7
C0D650,2021-08-06,25.4,27.1,24.4
C0D650,2021-08-07,24.6,25.7,23.5
C0D650,2021-08-08,28.3,31.4,24.9
C0D650,2021-08-09,29.4,33.0,26.8
C0D650,2021-08-10,28.5,31.5,26.9
C0D650,2021-08-11,28.5,31.5,25.3
C0D650,2021-08-12,28.9,32.2,26.2
C0D650,2021-08-13,28.9,,
C0D650,2021-08-14,28.9,32.0,26.1
C0D650,2021-08-15,29.1,31.9,26.7
C0D650,2021-08-16,29.1,32.1,26.6
C0D650,2021-08-17,29.2,32.0,27.1
C0D650,2021-08-18,28.1,29.8,26.8
C0D650,2021-08-19,28.4,31.6,26.5
C0D650,2021-08-20,28.6,31.5,25.7
C0D650,2021-08-21,28.6,31.7,26.3
C0D650,2021-08-22,28.5,31.2,26.1
C0D650,2021-08-23,29.1,31.8,27.0
C0D650,2021-08-24,28.7,,
C0D650,2021-08-25,28.8,32.7,26.0
C0D650,2021-08-26,29.0,32.0,26.0
C0D650,2021-08-27,28.9,31.7,26.3
C0D650,2021-08-28,29.0,,
C0D650,2021-08-29,29.0,31.6,26.4
C0D650,2021-08-30,28.7,30.6,27.2
C0D650,2021-08-31,29.0,32.9,26.7
